cfclamps1,748,Entertainment,581,5301,4.44,9,6
cfclamps1,748,Entertainment,561,8066,3.77,13,5
cfclamps1,748,Entertainment,549,6740,4.4,5,6
cfclamps1,748,Entertainment,393,5059,4.75,4,3
cfclamps1,748,Entertainment,249,5106,5.0,7,3
AXsmileSP,748,Entertainment,581,4990,4.95,19,18
AXsmileSP,748,Entertainment,580,3451,4.88,8,3
AXsmileSP,748,Entertainment,585,3537,5.0,6,5
AXsmileSP,748,Entertainment,597,3246,5.0,7,2
AXsmileSP,748,Entertainment,342,1652,5.0,6,4
nilojini,748,Entertainment,339,3238,4.5,8,0
nilojini,748,Entertainment,292,3020,4.83,6,0
nilojini,748,Entertainment,287,2442,4.0,5,0
nilojini,748,Entertainment,287,2223,4.0,5,0
nilojini,748,Entertainment,273,2338,4.75,4,1
nilojini,748,Entertainment,296,1762,4.14,7,0
nilojini,748,Entertainment,301,2706,4.2,5,3
nilojini,748,Entertainment,136,2826,3.71,7,0
nilojini,748,Entertainment,124,1261,4.33,6,2
KoffeeWithKaran,742,Entertainment,31,13353,4.7,20,14
240sxser,704,Autos & Vehicles,69,211,0.0,0,0
a93redteg,541,Autos & Vehicles,38,652,4.0,1,2
slesperance,585,Howto & DIY,252,50934,4.67,57,26
ragnarok2015,327,Entertainment,20,17170,4.88,8,6
archt01,460,Howto & DIY,64,67815,4.71,48,32
archt01,460,Travel & Places,154,82250,4.83,60,33
kyNephi,574,Howto & DIY,265,30062,4.62,56,45
Jefrystube,624,Howto & DIY,230,7643,4.83,12,5
yuandrew,461,Autos & Vehicles,31,23383,4.9,30,19
CalhounMooney,607,Autos & Vehicles,29,6249,5.0,11,2
curiosoperoinutil,262,Howto & DIY,64,35155,4.79,33,6
chukundi,419,Entertainment,415,1988,4.0,2,1
firdaddy,535,Autos & Vehicles,46,4657,3.0,4,1
tvpoltrona,0,UNA,80,26930,4.35,26,0
kewltrmpt,749,Film & Animation,451,1929,5.0,15,11
rockyblizzard,749,Film & Animation,450,5040,4.79,24,23
zabat,748,Film & Animation,451,217,5.0,2,1
reloadxero,748,Film & Animation,451,1178,4.38,8,10
jkoz,748,Film & Animation,69,232,5.0,2,2
Regdod89,748,Film & Animation,450,120,0.0,0,0
jkoz,748,Film & Animation,451,234,5.0,3,3
